DarkAmber,#2c2825,#fdcb52,#705e52,#2c2825,#705e52,#fdcb52,#fdcb52,#000000,#fdcb52,#FFFFFF,#fdcb52,#000000
Experimental,#0000ff,#00ff00,#ff0000,#ff00ff,#ffff00,#00ffff,#ffffff,#000080,#008000,#800000,#800080,#808000
Default-Dark,#353535,#ffffff,#202020,#353535,#ffffff,#ffffff,#ffffff,#353535,#ffffff,#ff0000,#4080c0,#000000
DarkBlue2,#1a2835,#d1ecff,#335267,#1a2835,#335267,#d1ecff,#d1ecff,#000000,#fafaf8,#FFFFFF,#fafaf8,#000000
DarkBrown4,#252525,#ff0000,#af0404,#252525,#af0404,#ff0000,#ff0000,#FFFFFF,#252525,#FFFFFF,#252525,#FFFFFF
Kayak,#a7ad7f,#000000,#e6d3a8,#a7ad7f,#e6d3a8,#000000,#000000,#FFFFFF,#5d907d,#FFFFFF,#5d907d,#FFFFFF
LightBlue1,#A5CADD,#6E266E,#E0F5FF,#A5CADD,#E0F5FF,#6E266E,#6E266E,#FFFFFF,#303952,#FFFFFF,#303952,#FFFFFF
LightBrown1,#e5dece,#063289,#f9f8f4,#e5dece,#f9f8f4,#063289,#063289,#FFFFFF,#063289,#FFFFFF,#063289,#FFFFFF
DarkTanBlue,#242834,#dfe6f8,#97755c,#242834,#97755c,#dfe6f8,#dfe6f8,#FFFFFF,#063289,#FFFFFF,#063289,#FFFFFF
